bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,51.0,39.0,56.666666666666664,43.333333333333336,90.0,51.0,39.0,0.5767925808640579,24.68354430379747,24.10675172293341,1.3076923076923077
2.0,90.0,78.0,12.0,86.66666666666667,13.333333333333329,180.0,129.0,51.0,1.458945939832617,32.278481012658226,30.81953507282561,2.5294117647058822
3.0,90.0,81.0,9.0,90.0,10.0,270.0,210.0,60.0,2.375028274146121,37.9746835443038,35.59965527015768,3.5
4.0,90.0,84.0,6.0,93.33333333333333,6.666666666666671,360.0,294.0,66.0,3.325039583804569,41.77215189873418,38.44711231492961,4.454545454545454
5.0,90.0,87.0,3.0,96.66666666666667,3.3333333333333286,450.0,381.0,69.0,4.308979868807962,43.67088607594937,39.36190620714141,5.521739130434782
6.0,90.0,86.0,4.0,95.55555555555556,4.444444444444443,540.0,467.0,73.0,5.28161049536304,46.20253164556962,40.92092115020658,6.397260273972603
7.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,630.0,556.0,74.0,6.2881700972630625,46.835443037974684,40.54727294071162,7.513513513513513
8.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,720.0,644.0,76.0,7.283420040714771,48.10126582278481,40.81784578207004,8.473684210526315
9.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,810.0,732.0,78.0,8.278669984166479,49.36708860759494,41.08841862342846,9.384615384615385
10.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,900.0,821.0,79.0,9.285229586066501,50.0,40.7147704139335,10.39240506329114
11.0,90.0,90.0,0.0,100.0,0.0,990.0,911.0,79.0,10.303098846414839,50.0,39.69690115358516,11.531645569620252
12.0,90.0,90.0,0.0,100.0,0.0,1080.0,1001.0,79.0,11.320968106763175,50.0,38.679031893236825,12.670886075949367
13.0,90.0,90.0,0.0,100.0,0.0,1170.0,1091.0,79.0,12.338837367111513,50.0,37.66116263288849,13.810126582278482
14.0,90.0,90.0,0.0,100.0,0.0,1260.0,1181.0,79.0,13.35670662745985,50.0,36.64329337254015,14.949367088607595
15.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,1350.0,1270.0,80.0,14.363266229359873,50.63291139240506,36.26964516304519,15.875
16.0,90.0,90.0,0.0,100.0,0.0,1440.0,1360.0,80.0,15.38113548970821,50.63291139240506,35.25177590269685,17.0
17.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,1530.0,1449.0,81.0,16.387695091608233,51.265822784810126,34.87812769320189,17.88888888888889
18.0,90.0,90.0,0.0,100.0,0.0,1620.0,1539.0,81.0,17.40556435195657,51.265822784810126,33.860258432853556,19.0
19.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,1710.0,1628.0,82.0,18.412123953856593,51.89873417721519,33.486610223358596,19.853658536585368
20.0,90.0,90.0,0.0,100.0,0.0,1800.0,1718.0,82.0,19.42999321420493,51.89873417721519,32.46874096301026,20.951219512195124
21.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,1890.0,1806.0,84.0,20.425243157656638,53.164556962025316,32.73931380436868,21.5
22.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,1980.0,1895.0,85.0,21.43180275955666,53.79746835443038,32.36566559487372,22.294117647058822
23.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2070.0,1983.0,87.0,22.427052703008368,55.063291139240505,32.636238436232134,22.79310344827586
24.0,90.0,87.0,3.0,96.66666666666667,3.3333333333333286,2160.0,2070.0,90.0,23.410992988011763,56.962025316455694,33.55103232844393,23.0
25.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2250.0,2158.0,92.0,24.40624293146347,58.22784810126582,33.82160516980235,23.456521739130434
26.0,90.0,86.0,4.0,95.55555555555556,4.444444444444443,2340.0,2244.0,96.0,25.378873558018547,60.75949367088607,35.380620112867526,23.375
27.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2430.0,2332.0,98.0,26.374123501470255,62.0253164556962,35.65119295422595,23.79591836734694
28.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,2520.0,2421.0,99.0,27.380683103370277,62.65822784810127,35.27754474473099,24.454545454545453
29.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2610.0,2509.0,101.0,28.375933046821984,63.924050632911396,35.54811758608941,24.84158415841584
30.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2700.0,2597.0,103.0,29.371182990273695,65.18987341772151,35.81869042744782,25.21359223300971
31.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2790.0,2685.0,105.0,30.366432933725402,66.45569620253164,36.089263268806235,25.571428571428573
32.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,2880.0,2774.0,106.0,31.372992535625425,67.0886075949367,35.715615059311276,26.169811320754718
