bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,262.0,114.0,148.0,43.51145038167939,56.48854961832061,262.0,114.0,148.0,0.43942489303473,53.42960288808664,52.99017799505191,0.7702702702702703
2.0,262.0,234.0,28.0,89.31297709923665,10.687022900763353,524.0,348.0,176.0,1.3414023050533863,63.537906137184116,62.19650383213073,1.9772727272727273
3.0,263.0,257.0,6.0,97.71863117870723,2.281368821292773,787.0,605.0,182.0,2.332035616543962,65.70397111913357,63.37193550258961,3.3241758241758244
4.0,262.0,253.0,9.0,96.56488549618321,3.4351145038167914,1049.0,858.0,191.0,3.307250510735073,68.95306859205776,65.64581808132269,4.492146596858639
5.0,262.0,256.0,6.0,97.70992366412214,2.290076335877856,1311.0,1114.0,197.0,4.294029217900783,71.11913357400722,66.82510435610644,5.654822335025381
6.0,262.0,258.0,4.0,98.47328244274809,1.5267175572519136,1573.0,1372.0,201.0,5.2885171337162244,72.56317689530685,67.27465976159063,6.825870646766169
7.0,262.0,258.0,4.0,98.47328244274809,1.5267175572519136,1835.0,1630.0,205.0,6.283005049531665,74.0072202166065,67.72421516707483,7.951219512195122
8.0,263.0,262.0,1.0,99.61977186311788,0.3802281368821241,2098.0,1892.0,206.0,7.2929113826465715,74.36823104693141,67.07531966428485,9.184466019417476
9.0,262.0,258.0,4.0,98.47328244274809,1.5267175572519136,2360.0,2150.0,210.0,8.287399298462013,75.81227436823104,67.52487506976902,10.238095238095237
10.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,2622.0,2411.0,211.0,9.293451027252052,76.17328519855596,66.87983417130391,11.42654028436019
11.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,2884.0,2672.0,212.0,10.299502756042092,76.53429602888086,66.23479327283877,12.60377358490566
12.0,262.0,260.0,2.0,99.23664122137404,0.7633587786259568,3146.0,2932.0,214.0,11.301699880507266,77.25631768953069,65.95461780902342,13.700934579439252
13.0,263.0,259.0,4.0,98.47908745247149,1.5209125475285106,3409.0,3191.0,218.0,12.300042400647573,78.70036101083032,66.40031861018275,14.637614678899082
